Scoala,Sex,Varsta,Mediu,Ore_Studiu,Materii_Picate,Meditatii_Scoala,Ajutor_Familie,Meditatii_Private,Internet,Relatie,Timp_Liber,Iesiri,Alcool_Saptamana,Alcool_Weekend,Absente,Nota_T1,Nota_T2,Nota_Finala
GP,F,17,U,2,0,no,no,no,yes,yes,3,2,1,1,0,14,15.0,15.0
GP,M,17,U,1,0,no,no,no,yes,no,2,3,1,2,4,17,15.0,16.0
GP,M,16,R,1,0,no,yes,yes,yes,no,3,4,3,5,8,9,9.0,10.0
GP,F,17,U,1,1,no,yes,no,yes,no,2,4,2,3,24,18,18.0,18.0
GP,F,16,U,2,0,no,yes,yes,yes,no,5,2,1,2,0,9,9.0,10.0
GP,F,16,U,2,0,no,yes,no,yes,no,3,5,1,5,2,16,16.0,16.0
GP,F,16,U,2,0,yes,yes,yes,no,no,4,3,1,3,6,8,10.0,10.0
GP,F,17,U,2,0,no,yes,yes,no,no,4,4,1,3,4,9,9.0,10.0
GP,F,17,R,1,0,no,yes,no,yes,no,3,2,1,2,18,7,6.0,6.0
GP,F,16,R,4,0,no,yes,yes,yes,no,3,5,1,1,6,10,10.0,11.0
GP,F,17,U,3,1,no,yes,yes,yes,yes,4,3,3,4,28,10,9.0,9.0
GP,F,16,U,2,3,no,yes,yes,yes,no,3,3,2,2,5,7,7.0,7.0
GP,F,16,U,2,0,no,no,yes,yes,yes,3,2,1,1,10,11,12.0,13.0
GP,F,16,U,1,0,no,yes,yes,no,no,3,2,1,4,6,9,9.0,10.0
GP,F,17,R,3,0,no,yes,yes,yes,yes,4,2,1,1,6,7,7.0,7.0
GP,F,19,U,4,0,no,yes,yes,yes,no,3,3,1,2,10,8,8.0,8.0
GP,M,17,U,2,0,no,yes,yes,yes,yes,3,5,4,5,13,12,12.0,13.0
GP,F,16,U,2,0,yes,yes,yes,yes,no,3,4,1,1,0,12,13.0,14.0
GP,M,18,U,2,1,no,yes,yes,yes,no,4,4,2,4,15,6,7.0,8.0
GP,F,17,R,1,0,no,yes,yes,no,no,2,1,1,2,12,8,10.0,10.0
GP,F,17,U,2,0,no,no,yes,yes,no,4,4,1,3,2,14,15.0,15.0
GP,F,17,U,2,2,no,no,yes,yes,yes,4,5,2,4,22,6,6.0,4.0
GP,M,18,U,2,1,no,yes,yes,yes,no,2,4,2,4,13,6,6.0,8.0
GP,F,17,U,1,0,no,yes,yes,no,no,3,3,1,4,3,7,7.0,8.0
GP,F,17,U,3,0,no,yes,yes,yes,no,3,3,1,1,4,9,10.0,10.0
GP,F,17,R,2,0,no,yes,no,yes,no,2,5,1,2,2,6,6.0,6.0
GP,F,17,U,3,1,no,yes,no,no,yes,3,4,1,1,0,6,5.0,
GP,F,16,U,2,0,yes,no,no,yes,no,3,1,1,1,2,16,16.0,17.0
GP,M,18,U,2,0,no,yes,yes,yes,no,3,3,5,5,0,12,13.0,13.0
GP,F,16,U,3,0,no,yes,no,yes,no,3,2,1,1,0,13,13.0,14.0
GP,F,18,R,2,1,no,no,no,yes,yes,3,3,1,1,16,9,8.0,7.0
GP,F,17,U,2,0,no,no,no,yes,no,3,4,1,3,10,16,15.0,15.0
GP,M,17,U,2,0,no,yes,yes,yes,no,3,3,1,3,2,12,11.0,12.0
GP,M,18,U,2,0,yes,yes,yes,yes,yes,3,2,4,5,14,10,8.0,9.0
GP,F,17,U,3,0,no,no,no,yes,yes,2,3,1,2,10,12,10.0,12.0
GP,F,17,U,2,0,no,no,no,yes,yes,2,3,1,2,14,13,13.0,14.0
GP,M,17,R,2,0,no,yes,yes,yes,no,5,2,1,1,4,11,11.0,11.0
GP,M,17,U,2,0,yes,yes,no,yes,yes,5,5,1,3,14,11,9.0,9.0
GP,M,16,U,2,0,no,yes,yes,yes,no,2,4,2,4,2,14,13.0,13.0
GP,M,16,U,2,0,no,yes,yes,yes,no,4,2,1,1,18,9,7.0,6.0
GP,M,16,U,3,0,no,no,no,yes,yes,3,3,1,3,10,11,9.0,10.0
GP,M,17,U,2,0,no,no,yes,yes,yes,4,2,5,5,4,14,13.0,13.0
GP,F,16,U,1,0,no,no,no,yes,yes,5,2,1,1,20,13,12.0,12.0
GP,F,17,R,2,0,no,no,no,no,no,1,1,1,1,2,13,11.0,11.0
GP,M,18,U,2,1,no,no,no,yes,no,5,4,3,5,0,7,7.0,
GP,M,17,U,2,0,no,no,no,yes,yes,5,5,1,4,14,12,12.0,12.0
GP,M,17,R,2,0,no,yes,yes,yes,no,3,3,2,3,2,10,11.0,12.0
GP,M,16,U,1,0,no,no,no,yes,no,4,5,1,1,0,6,,
GP,M,16,U,1,0,no,no,no,yes,no,3,2,1,2,0,13,12.0,12.0
GP,F,18,U,3,0,no,yes,yes,yes,yes,4,4,1,1,0,7,,
GP,M,16,U,1,0,no,no,no,yes,no,3,3,1,1,6,18,18.0,18.0
GP,M,17,U,1,0,no,no,no,yes,no,2,2,1,1,4,12,12.0,13.0
GP,M,22,U,1,3,no,no,no,yes,yes,4,5,5,5,16,6,8.0,8.0
GP,M,18,R,2,1,no,yes,no,yes,yes,3,3,1,3,8,3,5.0,5.0
GP,M,16,U,1,0,no,no,yes,yes,no,3,2,2,4,0,13,15.0,15.0
GP,M,18,U,1,1,no,no,no,yes,no,4,5,2,4,0,6,8.0,8.0
GP,M,16,U,2,0,yes,yes,no,yes,no,3,3,1,3,6,7,10.0,10.0
GP,M,18,U,1,1,no,no,no,yes,no,2,5,2,5,4,6,9.0,8.0
GP,M,16,R,1,0,no,no,no,no,no,3,2,1,3,0,8,9.0,8.0
GP,M,17,R,1,0,no,no,no,yes,no,4,2,2,4,0,8,12.0,12.0
GP,M,17,U,1,1,no,yes,no,yes,no,4,4,1,2,2,7,9.0,8.0
GP,F,17,U,4,0,no,yes,yes,yes,no,2,3,1,1,6,14,12.0,13.0
GP,M,19,U,2,0,no,yes,no,yes,no,3,1,1,1,12,11,11.0,11.0
GP,M,18,U,2,0,no,no,no,yes,no,2,4,1,2,8,15,14.0,14.0
GP,F,17,U,4,0,no,no,yes,yes,yes,4,1,1,1,0,10,9.0,
GP,F,18,U,2,0,no,yes,yes,yes,yes,1,2,1,3,21,17,18.0,18.0
GP,M,18,U,2,0,no,yes,yes,yes,no,3,2,1,1,2,8,8.0,8.0
GP,M,18,R,3,0,no,no,no,no,no,3,2,1,1,1,13,12.0,12.0
GP,F,17,U,3,0,no,no,no,no,no,2,3,1,1,4,10,9.0,9.0
GP,F,18,U,3,0,no,yes,yes,yes,yes,3,3,1,1,0,9,10.0,
GP,M,18,R,2,0,no,yes,yes,yes,no,2,5,3,4,13,17,17.0,17.0
GP,M,17,U,2,0,no,no,yes,yes,yes,4,4,3,4,2,9,9.0,10.0
GP,F,18,R,2,0,no,no,yes,yes,no,3,4,2,2,8,12,10.0,11.0
GP,M,18,U,2,0,no,yes,yes,yes,yes,4,5,1,3,10,10,9.0,10.0
GP,F,18,R,2,0,no,yes,no,yes,yes,3,5,1,2,0,6,,
GP,F,19,U,2,2,no,yes,yes,yes,no,3,5,3,3,15,9,9.0,9.0
GP,F,18,U,4,0,no,yes,yes,yes,yes,5,5,1,3,4,15,14.0,14.0
GP,F,18,U,2,0,no,yes,yes,no,no,4,3,1,1,2,11,11.0,11.0
GP,M,17,R,2,0,no,yes,yes,no,yes,5,2,2,2,2,15,14.0,14.0
GP,F,17,U,2,0,no,yes,yes,yes,yes,3,3,1,1,2,10,10.0,10.0
GP,F,17,U,2,0,yes,yes,yes,yes,yes,4,4,2,3,6,12,12.0,12.0
GP,F,18,R,2,0,no,no,no,yes,yes,1,1,1,1,75,10,9.0,9.0
GP,M,18,U,1,0,no,no,yes,yes,no,2,4,1,4,22,9,9.0,9.0
GP,F,18,U,2,1,yes,yes,no,yes,yes,4,4,1,1,15,9,8.0,8.0
GP,M,18,U,1,0,no,no,yes,yes,no,2,3,1,2,8,10,11.0,10.0
GP,M,17,U,1,0,no,no,yes,yes,yes,5,4,2,4,30,8,8.0,8.0
GP,M,17,U,1,1,no,no,no,yes,no,4,4,3,4,19,11,9.0,10.0
GP,F,18,R,4,0,no,yes,yes,no,no,2,2,1,1,1,12,12.0,12.0
GP,F,18,U,2,0,yes,no,no,yes,no,4,4,1,1,4,8,9.0,10.0
GP,F,17,U,2,0,no,yes,no,yes,no,4,5,1,2,4,10,9.0,11.0
GP,M,17,U,2,0,no,no,yes,yes,no,3,3,1,2,2,12,10.0,11.0
GP,F,18,U,3,0,no,yes,yes,yes,no,3,3,1,2,5,18,18.0,19.0
GP,F,17,U,3,0,no,yes,yes,yes,no,3,3,1,1,6,13,12.0,12.0
GP,M,18,U,3,0,no,no,yes,yes,no,2,4,1,3,6,15,14.0,14.0
GP,M,18,U,2,0,no,yes,yes,yes,no,4,3,1,1,9,15,13.0,15.0
GP,M,18,U,2,0,no,yes,yes,yes,yes,3,2,1,4,11,12,11.0,11.0
GP,F,17,U,3,0,no,yes,yes,yes,no,2,2,1,2,0,15,15.0,15.0
GP,F,18,U,2,1,no,no,no,yes,yes,4,3,1,1,12,12,12.0,13.0
GP,F,17,R,4,0,no,yes,yes,no,no,1,2,1,1,6,18,18.0,18.0
GP,M,18,R,3,0,no,yes,yes,yes,no,4,2,1,1,8,14,13.0,14.0
GP,M,17,U,1,0,no,yes,yes,yes,no,4,3,1,3,4,14,12.0,11.0
GP,F,19,U,2,0,no,yes,yes,yes,no,3,4,2,3,0,10,9.0,
GP,F,18,U,2,0,no,yes,yes,yes,yes,4,5,1,2,10,10,8.0,8.0
GP,F,18,U,4,0,no,yes,yes,yes,no,3,3,1,1,0,14,13.0,14.0
GP,M,18,U,1,0,no,yes,yes,yes,yes,4,2,2,2,5,16,15.0,16.0
GP,F,18,U,2,0,no,yes,no,yes,yes,2,4,1,1,14,12,10.0,11.0
GP,M,17,U,1,0,no,no,yes,yes,no,1,1,2,2,0,11,11.0,10.0
GP,F,17,U,3,0,no,yes,yes,yes,no,3,3,1,1,0,15,12.0,14.0
GP,F,17,U,4,0,no,yes,yes,yes,no,2,2,1,2,0,17,17.0,18.0
GP,M,19,U,2,1,no,yes,no,yes,yes,4,4,1,1,20,15,14.0,13.0
GP,F,18,U,2,1,no,yes,yes,yes,no,4,3,1,1,8,14,12.0,12.0
GP,M,20,U,1,0,no,no,no,no,no,5,3,1,1,0,17,18.0,18.0
GP,M,19,U,1,1,no,yes,yes,yes,yes,3,4,1,1,38,8,9.0,8.0
GP,M,19,R,2,1,no,no,no,no,yes,5,3,1,2,0,15,12.0,12.0
GP,F,19,U,2,1,yes,yes,no,yes,no,4,3,1,3,18,12,10.0,10.0
GP,F,19,U,2,1,no,no,no,no,yes,2,4,2,2,0,9,9.0,
GP,F,19,U,2,0,no,yes,no,yes,yes,4,1,1,1,20,14,12.0,13.0
GP,M,19,U,2,1,no,no,no,yes,no,5,2,2,2,3,13,11.0,11.0
GP,F,19,U,2,1,no,yes,yes,yes,yes,2,2,1,2,22,13,10.0,11.0
GP,F,19,U,3,2,no,no,no,yes,yes,1,2,1,1,14,15,13.0,13.0
GP,F,19,R,3,1,no,no,no,yes,yes,1,2,1,1,40,13,11.0,11.0
GP,F,18,U,2,0,no,yes,yes,yes,no,3,3,1,2,0,8,8.0,
GP,F,18,U,3,0,no,yes,yes,yes,yes,3,4,1,1,9,9,10.0,9.0
GP,F,17,R,3,0,no,yes,yes,yes,no,3,4,2,5,0,11,11.0,10.0
GP,F,18,U,2,0,no,yes,yes,yes,no,4,4,3,3,2,11,11.0,11.0
GP,F,17,U,2,0,no,yes,yes,yes,yes,2,2,1,2,23,13,13.0,13.0
GP,F,17,U,2,0,no,yes,no,no,yes,2,2,1,1,12,11,9.0,9.0
GP,F,17,R,3,0,no,yes,yes,yes,no,3,2,2,2,3,11,11.0,11.0
GP,F,17,U,3,0,no,yes,no,yes,no,4,3,2,3,1,12,14.0,15.0
GP,F,17,U,3,0,no,no,no,yes,no,3,3,2,3,0,16,15.0,15.0
GP,M,18,U,3,0,no,no,no,yes,no,3,3,2,2,3,9,12.0,11.0
GP,M,17,U,1,0,no,no,no,yes,no,3,5,3,5,3,14,15.0,16.0
GP,M,17,R,1,0,no,yes,no,yes,no,4,5,5,5,8,11,10.0,10.0
GP,F,17,U,3,0,no,yes,yes,yes,no,4,4,1,3,7,10,9.0,9.0
GP,F,17,U,3,0,no,yes,yes,yes,yes,3,3,1,2,4,14,14.0,14.0
GP,M,18,U,4,0,no,yes,no,yes,no,5,5,2,4,2,9,8.0,8.0
GP,F,17,R,3,0,no,yes,no,yes,yes,4,3,1,1,7,12,14.0,14.0
GP,F,18,U,2,0,no,no,no,yes,no,3,4,1,1,0,7,,
GP,F,18,U,2,0,no,no,no,yes,yes,3,3,1,1,0,8,8.0,
GP,F,18,R,4,0,no,no,no,no,no,4,4,1,1,0,10,9.0,
GP,F,17,U,3,0,no,no,no,yes,no,4,5,1,3,16,16,15.0,15.0
GP,F,19,R,3,1,no,no,yes,no,no,4,3,1,2,12,14,13.0,13.0
GP,F,17,U,2,0,no,yes,yes,yes,yes,3,2,2,3,0,7,8.0,
GP,F,18,U,4,0,no,yes,no,yes,no,3,3,1,1,7,16,15.0,17.0
GP,F,17,R,2,0,no,yes,yes,yes,no,3,3,2,3,4,9,10.0,10.0
GP,F,19,U,3,1,no,no,yes,yes,yes,3,4,1,3,4,11,12.0,11.0
GP,M,18,U,2,1,no,yes,no,yes,no,3,3,2,2,0,10,10.0,
GP,M,18,U,2,0,no,no,no,yes,yes,3,3,1,3,11,16,15.0,15.0
GP,F,17,U,2,1,no,yes,no,yes,yes,3,1,1,2,0,9,8.0,
GP,F,18,U,3,0,no,yes,no,yes,no,3,3,1,2,4,11,10.0,10.0
GP,F,18,U,3,0,no,no,no,yes,yes,4,3,2,3,7,13,13.0,14.0
GP,M,18,R,3,0,no,no,no,yes,yes,3,2,1,2,9,16,15.0,16.0
GP,M,18,U,3,0,no,yes,yes,yes,yes,4,5,2,3,0,10,10.0,9.0
GP,F,17,U,3,0,no,yes,yes,yes,yes,4,3,1,3,0,13,15.0,15.0
MS,M,18,R,1,1,no,yes,no,yes,no,5,5,5,5,10,11,13.0,13.0
MS,M,19,R,2,3,no,no,no,yes,no,4,4,3,3,8,8,7.0,8.0
MS,M,17,U,2,0,no,yes,yes,yes,no,5,4,2,3,2,13,13.0,13.0
MS,M,18,U,1,1,no,no,no,yes,yes,3,3,2,3,7,8,7.0,8.0
MS,M,19,R,1,1,no,yes,no,yes,no,4,4,3,3,4,8,8.0,8.0
MS,M,17,R,2,0,no,yes,yes,yes,yes,5,5,1,3,4,13,11.0,11.0
MS,F,18,U,2,0,no,yes,no,no,yes,3,4,1,1,0,10,9.0,9.0
MS,F,17,R,2,0,no,yes,yes,yes,no,3,3,1,2,4,12,13.0,13.0
MS,F,17,U,2,0,no,no,no,no,yes,2,3,1,2,2,12,12.0,11.0
MS,M,18,U,1,0,no,no,no,yes,yes,3,2,1,2,4,10,10.0,10.0
MS,F,18,U,3,0,no,no,no,yes,no,3,2,1,1,0,18,16.0,16.0
MS,F,18,R,2,0,no,no,no,no,yes,3,4,1,4,0,13,13.0,13.0
MS,M,18,R,2,1,no,no,no,no,no,4,3,2,3,2,13,12.0,12.0
MS,F,18,U,2,0,no,yes,no,yes,yes,3,2,1,3,0,11,11.0,10.0
MS,F,17,U,2,0,no,yes,yes,yes,yes,3,4,1,1,0,16,15.0,15.0
MS,F,17,R,2,0,no,no,no,no,no,2,2,1,2,0,12,11.0,12.0
MS,M,18,R,2,0,no,yes,yes,no,no,3,4,2,4,4,10,10.0,10.0
MS,M,18,U,3,0,no,no,yes,yes,yes,2,2,2,2,0,13,13.0,13.0
MS,F,17,R,1,1,no,yes,yes,yes,yes,2,1,1,2,0,7,6.0,
MS,F,18,U,1,0,no,yes,yes,yes,yes,2,3,1,2,0,11,10.0,10.0
MS,F,18,R,2,0,no,yes,yes,yes,yes,2,2,4,2,10,14,12.0,11.0
MS,F,19,U,2,2,no,no,no,no,yes,2,2,1,1,4,7,7.0,9.0
MS,M,18,R,1,0,no,yes,yes,yes,yes,3,3,2,3,3,14,12.0,12.0
MS,F,17,U,3,0,no,no,no,no,yes,4,3,1,1,8,13,11.0,11.0
MS,F,17,R,1,0,no,no,no,yes,no,5,5,1,3,14,6,5.0,5.0
MS,F,18,R,3,0,no,no,no,yes,no,4,4,1,1,0,19,18.0,19.0
MS,F,18,R,3,0,no,no,no,yes,no,3,2,1,2,2,8,8.0,10.0
MS,F,20,U,3,2,no,yes,yes,yes,yes,4,3,1,1,4,15,14.0,15.0
MS,F,18,R,2,0,no,no,yes,yes,no,4,3,3,4,4,8,9.0,10.0
MS,F,18,U,2,0,no,no,yes,yes,yes,1,3,1,2,0,15,15.0,15.0
MS,F,17,R,2,0,no,yes,yes,yes,no,5,4,2,3,17,10,10.0,10.0
MS,M,18,U,2,0,no,no,yes,yes,no,2,4,1,4,4,15,14.0,14.0
MS,M,18,R,1,0,no,no,no,yes,yes,4,3,1,3,5,7,6.0,7.0
MS,M,17,U,2,0,no,no,no,yes,no,4,3,1,1,2,11,11.0,10.0
MS,M,19,R,1,1,no,no,no,no,no,3,2,1,3,0,6,5.0,
MS,M,18,R,1,1,no,no,yes,no,no,4,3,4,3,14,6,5.0,5.0
MS,F,18,R,3,0,no,no,yes,no,no,3,3,1,3,2,10,9.0,10.0
MS,F,18,R,1,0,no,yes,yes,yes,yes,4,3,2,2,7,6,5.0,6.0
MS,F,19,R,3,1,no,no,no,yes,no,4,2,1,2,0,7,5.0,
MS,F,18,U,2,0,no,yes,yes,yes,no,3,4,1,1,0,7,9.0,8.0
MS,F,18,U,2,1,no,no,no,no,no,1,1,1,1,0,6,5.0,
MS,M,20,U,2,2,no,yes,yes,no,no,5,4,4,5,11,9,9.0,9.0
MS,M,17,U,1,0,no,no,no,yes,no,4,5,3,4,3,14,16.0,16.0
MS,M,21,R,1,3,no,no,no,no,no,5,3,3,3,3,10,8.0,7.0
MS,M,18,R,1,0,no,no,no,yes,no,4,1,3,4,0,11,12.0,10.0
MS,M,19,U,1,0,no,no,no,yes,no,2,3,3,3,5,8,9.0,9.0
